Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
<BACKSPACE12>dating,2.336,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><HIGHLIGHT 1867:1863><MOUSECLICK>,1.64,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<REPLACED>Because of this,",1.264,end NP,10,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
they,1.864,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
<MOUSECLICK>,3.016,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK> forward with,3.159,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.272,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
.,2.447,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Online d<BACKSPACE5>,1.056,mid word,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
ne,1.344,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>ine dating can,1.231,mid VP,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
reduce,1.296,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE7>help such people by,3.088,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
facilitating,1.152,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
a,2.96,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
re<BACKSPACE2>,2.976,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1> re,1.504,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,2.96,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ge<BACKSPACE2>better,1.775,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE9>the creation of,4.752,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
better connection first,2.064,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
between,2.976,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
them and their romantical interest.,2.608,end sentence,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1
"Hence, they wi",2.224,mid word,0,2,1,1,NA,NA,1,NA,NA,NA,NA,1,1
ll have,1.135,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1>,1.247,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
the confidence,1.504,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
when th,1.919,mid word,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
ey are actually meeting their potential partner due to the familia,1.248,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
rity with each other that they have built through,1.952,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
on<BACKSPACE2>,1.28,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
the pri<BACKSPACE1>evious online dating.<ENTER1>,7.024,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Online dating,1.456,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
he,1.104,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
lps,11.584,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pro<BACKSPACE2>,1.344,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
oten<BACKSPACE5>,6.672,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
people to get,1.072,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>,3.84,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE9>,4.224,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE21>In summary, on",3.392,mid PP,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
l,1.375,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ine m,1.503,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE8>doing online dating before real <BACKSPACE1>-life dating provides advantages,1.632,end sentence,0,43,1,NA,1,1,1,NA,NA,NA,NA,NA,1
to the hopeful,1.104,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
daters.,1.919,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Such advantages are,4.064,end VP,0,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
resource saving,1.104,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
of<BACKSPACE2>for,1.232,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
the,1.84,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"people,",2.96,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"reduce the risk of crimimna<BACKSPACE3>nal act, and",3.68,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
ease,3.216,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
da,1.92,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1>,3.199,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE6>decrease the t<BACKSPACE1>stress from real-life dating for,1.792,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
the introverts.,4.624,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.263,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOING,16.599,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<HIGHLIGHT 502:475><MOUSECLICK><HIGHLIGHT 473:471><BACKSPACE2>,1.36,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
". <LEFT1><BACKSPACE1>,<RIGHT1><HIGHLIGHT 473:472><RIGHT1><HIGHLIGHT 474:472><RIGHT1><HIGHLIGHT 475:472><RIGHT1><HIGHLIGHT 476:472><RIGHT1><HIGHLIGHT 477:472><RIGHT1><HIGHLIGHT 478:472><RIGHT1><HIGHLIGHT 477:472><LEFT1><HIGHLIGHT 476:472><LEFT1><HIGHLIGHT 475:472><LEFT1><HIGHLIGHT 474:472><LEFT1><HIGHLIGHT 473:472><LEFT1><REPLACED>BUILT A CONNECTION, <BACKSPACE20>",1.152,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"B<BACKSPACE1>built a connection through it, and",2.623,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gone,1.216,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<RIGHT1><HIGHLIGHT 513:512><RIGHT1><HIGHLIGHT 514:512><HIGHLIGHT 515:512><HIGHLIGHT 516:512><HIGHLIGHT 517:512><HIGHLIGHT 518:512><RIGHT5>,1.411,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<REPLACED>through,2.319,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1>,4.695,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.208,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,2.136,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,5.688,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
The use of dating a,2.495,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE19>Online dating before real life dating is getting popi<BACKSPACE1>ular,",4.727,end sentence,0,44,1,NA,1,1,1,NA,NA,NA,NA,NA,1
<MOUSECLICK><BACKSPACE1>Doing o,2.735,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>and this is no wonder due to teh<BACKSPACE2>,2.495,mid word,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
he <HIGHLIGHT 643:642><HIGHLIGHT 644:642><HIGHLIGHT 645:642><HIGHLIGHT 646:642><HIGHLIGHT 647:642><HIGHLIGHT 648:642><HIGHLIGHT 649:642><HIGHLIGHT 650:642><RIGHT8><HIGHLIGHT 651:642><RIGHT1><HIGHLIGHT 652:642><RIGHT1>,1.552,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<REPLACED>its,1.615,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<SPACE>,3.751,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<HIGHLIGHT 657:708><BACKSPACE2>.,59.871,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.144,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.72,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>,1.392,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"I believe <BACKSPACE1>, when dating,",1.68,end clause,0,0,2,NA,NA,NA,1,1,NA,NA,NA,NA,2
<BACKSPACE1>,1.438,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"> someone mne<BACKSPACE3>new, it is more practical to meet for the first",1.711,mid PP,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE14>the first few times in person.,1.519,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
The,1.407,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
e<BACKSPACE1>re are m<BACKSPACE1>a few factors wh<BACKSPACE1>| ,1.295,mid Word,5,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2
BACKSPACE1>,4.351,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
for why I believe this to be the case.,1.407,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
But I will say<BACKSPACE14>,3.568,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<LEFT33><RIGHT32>,1.936,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<ENTER1>First would be simple and probably,2.656,mid NP,0,28,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
"hard to admit, but oh<BACKSPACE2>physcial atrr<BACKSPACE2>traction does play a part in dating. While I understand that photos can be exchanged",1.759,end clause,72,16,NA,2,2,1,1,1,NA,NA,NA,NA,2
"onliv<BACKSPACE1>ne,",6.32,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I do not believe that accurately,1.072,mid VP,0,10,1,NA,NA,NA,1,1,NA,NA,NA,NA,2
paints a full picture,1.184,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
f what to expect when you are,11.696,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
going through the <BACKSPACE30>,1.119,mid Word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
hen we are discussing dating.,10.559,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
Is thi<BACKSPACE1>e picture accurate,1.742,end sentence,2,8,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
Is thi<BACKSPACE1>e picture up to date. <BACKSPACE2>? Had <BACKSPACE2>s the picture been modif<BACKSPACE1>i<BACKSPACE1>fied in some form with,1.793,mid PP,2,26,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
photoshop or,7.377,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
maniupl<BACKSPACE5>nipulate via lighting,2.607,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
",",1.471,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"angles.<BACKSPACE1>, etc.",2.031,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE1>.?,4.271,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
While it may sound,4.623,end VP,9,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2
crass to sug<BACKSPACE1>ggest,2.415,end clause,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
this,1.246,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
inconsiderate to suggest,1.646,end clause,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2
"this, the fact is (IMO)<BACKSPACE4>in my opinion) t<BACKSPACE1>is that phys<BACKSPACE1>sical attraction does play a component in",4.128,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
regards to dating.,1.535,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I don't want to suggest that is the only comp,1.135,mid Word,25,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,2
"en<BACKSPACE2>onent, but",6.144,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I believe<BACKSPACE13>,1.28,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
ane<BACKSPACE1>d while I do not personally have data,1.583,end clause,9,9,NA,1,1,NA,1,1,NA,NA,NA,NA,2
"to support this,",1.439,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
I b,2.015,mid Word,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2
elieve you co<BACKSPACE1>an look at,1.678,end VP,0,11,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2
something like Tinder and come to that sd<BACKSPACE1>ame co<BACKSPACE1>,1.04,mid Word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE130>. But,1.423,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"aside from looks, there are things like",1.519,mid NP,0,19,1,NA,NA,1,NA,NA,NA,1,NA,NA,2
"smells,",2.015,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
"fashion sense, ",3.423,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
courtesis<BACKSPACE1>,1.888,mid Word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE1>,1.456,mid Word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"<UP1><LEFT21><DOWN1><LEFT56>, but I do feel",1.968,end clause,5,7,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2
seeing someone in,2.031,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
person gives a far more accurate represn<BACKSPACE1>entation of your,1.039,mid NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2
<BACKSPACE5>whet<BACKSPACE22>,19.392,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE26>gives you a better sense y<BACKSPACE1>of your phys,2.047,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
ical attraction,2.016,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"to them <BACKSPACE1>, far more than a picture might",2.336,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
<DOWN1><UP1><RIGHT1>,1.455,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<ENTER1><UP1><LEFT1><DOWN1> There is,1.359,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
also more thab<BACKSPACE1>n just facial k<BACKSPACE1>looks,1.279,end NP,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,2
to,1.023,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
o. People tend to,2.527,mid VP,2,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2
<BACKSPACE18>,1.403,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
o. How<BACKSPACE3>,2.543,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<DOWN1>,1.968,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<UP1>,1.087,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
H<BACKSPACE1>How,1.888,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<BACKSPACE4>Youre <BACKSPACE2> attraction is also based,1.713,mid VP,0,11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
on,3.183,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
how you,3.199,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
phyr<BACKSPACE1>sci<BACKSPACE2>i<BACKSPACE18>d wheter <BACKSPACE3>her tou <BACKSPACE4>you like their body as well.,1.072,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2
Not,1.007,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"to be crass, but I <BACKSPACE24> Another thing that is tought <BACKSPACE6>i<BACKSPACE1>ough to determine with pictures and even video chat.",1.248,end sentence,0,29,1,NA,1,1,1,NA,NA,NA,NA,NA,2
LEFT30,3.233,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
RIGHT30,1.223,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
And BACKSPACE4,2.769,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Even if the person describes their,2.48,mid NP,6,14,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
"attritubutes, that will not neccessarliy BACKSPACE1",1.072,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE25hat only goes so far without seeing and determining in persBACKSPACE8 for yourself in,1.406,mid PP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2
person.DOWN1,2.831,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
siBACKSPACE2ies BACKSPACE1.,4.079,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE6sies someone,1.36,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
might have (or not have-BACKSPACE1).,5.68,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Digital dating,1.215,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
cBACKSPACE1,2.704,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
can only go so far as,1.024,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
how a person,1.231,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
treats the people and the world around them. Dating,10.687,end NP,37,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,2
BACKSPACE7,3.135,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
UP1RIGHT41 toDOWN1,3.984,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
UP1LEFT47UP2LEFT1DOWN1UP1RIGHT1DOWN3RIGHT10,2.471,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
How do they dress when outside,1.503,end sentence,9,11,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
.,1.903,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE2? What,1.663,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE7 or going out to eat somewhere?,3.888,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
How do they react in social situations,1.104,end sentence,9,18,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
?,1.583,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"VeBACKSPACE2Even if we are talkuiBACKSPACE2ing about two introverts,",6.111,end clause,0,33,1,1,1,NA,1,1,NA,NA,NA,NA,2
there,1.36,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
c,1.007,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
an,1.824,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE9there is no way to avoid,1.71,end VP,7,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2
dealing with,1.087,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE35re is more,1.518,mid NP,5,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2
likely a chance you will do something together that oBACKSPACE1involves other people in some form asBACKSPACE1t some point.,1.568,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2
Are they nice to,1.039,end VP,4,7,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
your friends,1.631,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE22,1.455,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
y nice to a waBACKSPACE4the,3.343,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE21How do they treat a wait,1.424,mid word,7,12,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2
er,1.055,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
at a restaurant? Are they awk,1.152,mid word,21,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,2
ward at a social gathering,1.199,end sentence,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
? ENTER2 BACKSPACE2,1.12,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Wh<BACKSPACE2>thes<BACKSPACE4>,1.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
THES<BACKSPACE3>hese are facotr<BACKSPACE6>my,3.614,mid NP,0,6,1,NA,1,NA,1,NA,NA,NA,NA,NA,2
ideas of what goes to<BACKSPACE2>o<BACKSPACE1>into,2.959,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
ini<BACKSPACE3>the initial dating process. You are getting to know someone,1.023,end sentence,23,23,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2
beyonf<BACKSPACE1>d how well they converse online. I feel consid<BACKSPACE13>,4.64,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I <BACKSPACE2>And <BACKSPACE4>,1.023,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I wouldn't suggest online dating isn't possible to start a relations,1.008,mid word,0,35,1,1,1,1,1,1,NA,NA,NA,NA,2
hipo<BACKSPACE1>. I just don't eb<BACKSPACE2>believe it is<BACKSPACE1>deal to long term vial<BACKSPACE1>bility,1.661,end sentence,23,0,1,1,NA,NA,1,1,NA,NA,NA,NA,2
<BACKSPACE1>,1.569,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
<SPACE>,1.136,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
compared to,1.007,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
meeting aBACKSPACE1in real life.,2.062,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
ENTER1,7.775,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
WeBACKSPACE2,13.079,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
MOUSECLICK,1.064,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
LEFT6The RIGHT1BACKSPACE1fRIGHT4 thBACKSPACE12First thing,4.654,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
LEFT7RIGHT8LEFT1BACKSPACE6,1.424,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
DOWN20,6.956,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
So <BACKSPACE3>I thi<BACKSPACE3>beliec<BACKSPACE1>ve people have criteria in their dating that,3.84,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
only ma,1.263,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
BACKSPACE59,1.712,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
The conversation may be going great online but,4.672,end clause,0,18,1,NA,NA,1,1,NA,NA,NA,NA,NA,2
then you meet in person,1.344,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2
and,2.497,end word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
the,1.279,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"BACKSPACE15real life, and all of a sudden the person acts differently. I belieBACKSPACE7",1.472,end sentence,12,16,NA,NA,1,2,1,NA,1,NA,NA,NA,2
P,1.311,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
I think people tend to be more comfortable online,1.151,end sentence,0,29,1,1,1,1,1,1,NA,NA,NA,NA,2
in the saBACKSPACE1saBACKSPACE2afety of their,1.935,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
own soaceBACKSPACE4pace. But when you,1.184,end NP,16,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
dd BACKSPACE4,1.408,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
add someone BACKSPACE1,1.057,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
